primary_isin,year
US89233P2A30,2019
US89233P2A30,2018
US59523F1003,2021
US59523F1003,2020
US59523F1003,2019
US59523F1003,2018
US89152UAA07,2021
US89152UAA07,2020
US89152UAA07,2019
US89152UAA07,2018
US92259F1012,2021
US92259F1012,2020
US92259F1012,2019
US92259F1012,2018
US92718WAA71,2021
US92718WAA71,2020
US92718WAA71,2019
US92718WAA71,2018
US47009XAA72,2021
US47009XAA72,2020
US47009XAA72,2019
US47009XAA72,2018
US98975W1045,2018
US98975W1045,2020
US98975W1045,2019
US98975W1045,2021
US6389041020,2020
US6389041020,2019
US6389041020,2021
US6389041020,2018
US0462241011,2020
US0462241011,2021
US0462241011,2019
US0462241011,2018
US46618D1081,2021
US46618D1081,2020
US46618D1081,2018
US46618D1081,2019
US90353W1036,2018
US90353W1036,2019
US90353W1036,2020
US90353W1036,2021
US0942351083,2020
US0942351083,2021
US0942351083,2019
US0942351083,2018
US63888U1088,2020
US63888U1088,2019
US63888U1088,2018
US63888U1088,2021
US29355A1079,2019
US29355A1079,2020
US29355A1079,2021
US29355A1079,2018
US00090Q1031,2021
US00090Q1031,2019
US00090Q1031,2020
US00090Q1031,2018
US56845X1081,2018
US56845X1081,2020
US56845X1081,2021
US56845X1081,2019
US46122E1055,2021
US46122E1055,2020
US46122E1055,2019
US46122E1055,2018
US9055811049,2020
US9055811049,2021
US9055811049,2018
US9055811049,2019
US12769A1034,2021
US12769A1034,2019
US12769A1034,2018
US12769A1034,2020
US8868851028,2019
US8868851028,2020
US8868851028,2018
US8868851028,2021
US98986T1088,2021
US98986T1088,2020
US98986T1088,2019
US98986T1088,2018
US55345K1034,2021
US55345K1034,2019
US55345K1034,2020
US55345K1034,2018
US8486371045,2021
US8486371045,2019
US8486371045,2018
US8486371045,2020
US05070J1025,2021
US05070J1025,2020
US05070J1025,2019
US05070J1025,2018
US45321L1008,2021
US45321L1008,2019
US45321L1008,2018
US45321L1008,2020
US34984V1008,2021
US34984V1008,2019
US34984V1008,2020
US34984V1008,2018
US16943C1099,2021
US16943C1099,2019
US16943C1099,2020
